_computeFunctionValue              6    TK_FUNID            ----    function                      yes ----
,                                  31    TK_COMMA            ----    remainingIdentifiers          yes ----
----                               -1    -----------         ----    idList                        no remainingIdentifiers
b3b444                             31    TK_ID               ----    idList                        yes ----
----                               -1    -----------         ----    remainingIdentifiers          no idList
EPSILON                            -1    TK_EPS              ----    remainingIdentifiers          yes ----
----                               -1    -----------         ----    idList                        no remainingIdentifiers
]                                  31    TK_SQR              ----    inputParameters               yes ----
;                                  31    TK_SEM              ----    funCallStmt                   yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    otherStmts                    no otherStmts
write                              32    TK_WRITE            ----    ioStmt                        yes ----
----                               -1    -----------         ----    statement                     no ioStmt
(                                  32    TK_OP               ----    ioStmt                        yes ----
c3                                 32    TK_ID               ----    singleOrRecId                 yes ----
----                               -1    -----------         ----    variable                      no singleOrRecId
EPSILON                            -1    TK_EPS              ----    optionalFieldAccess           yes ----
----                               -1    -----------         ----    singleOrRecId                 no optionalFieldAccess
----                               -1    -----------         ----    ioStmt                        no variable
)                                  32    TK_CL               ----    ioStmt                        yes ----
;                                  32    TK_SEM              ----    ioStmt                        yes ----
----                               -1    -----------         ----    otherStmts                    no statement
----                               -1    -----------         ----    otherStmts                    no otherStmts
EPSILON                            -1    TK_EPS              ----    otherStmts                    yes ----
----                               -1    -----------         ----    otherStmts                    no otherStmts
return                             33    TK_RETURN           ----    returnStmt                    yes ----
----                               -1    -----------         ----    statementSequence             no returnStmt
EPSILON                            -1    TK_EPS              ----    optionalReturn                yes ----
----                               -1    -----------         ----    returnStmt                    no optionalReturn
;                                  33    TK_SEM              ----    returnStmt                    yes ----
end                                35    TK_END              ----    mainFunction                  yes ----
